Case ID,Case type,Case name,Version,Keywords,Auto type,Workloading,Priority,Creator,Category folder,Execution Type,Status,OS,Phase,Owner,Objective,Release notes,Type matrix,Case tools
5564PA,SW,W10:Intelligent Sensing function test on FVT 5564PA,1.5,none,-100,240,,alee37,ROOT:W10:Intelligent Sensing function test on FVT,Matrix,Active,Win 10,FVT,vthangavel,confirm the basic function of Intelligent Sensing,,Win10-64bit,
5617PA,SW,W81:Lenovo Settings:Smart Sense section confirmation on FVT 5617PA,1.1,none,-100,360,,shaun.casantusan@awsys-i.com,ROOT:W81:Lenovo Settings: Smart Sense section confirmation on FVT,Matrix,Active,Win 8.1,FVT,vthangavel,confirm the basic function of Smart Sense section on Lenovo Settings,,"Win81-64bit, Win81-32bit",
3940PA,SW,Win7: ThinkVantage Function Test 3940PA,1.4,none,-100,0,,tmitsuhashi,ROOT: Win7: ThinkVantage Function Test - 3940PA,Single,Active,Win 10,SIT,vthangavel,To test ThinkVantage Applications on ThinkPad,,,
3941PA,SW,R&R: BackUp Function Test 3941PA,1.8,none,-100,960,,tmitsuhashi,ROOT: Win7: ThinkVantage Function Test - 3940PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,tmitsuhashi,To confirm Back Up functionality in RnR,,"Win7- 32 bit, Win10-32bit, Win10-64bit, Win7- 64bit",
3942PA,SW,R&R: Restore Function Test 3942PA,1.7,none,-100,480,,tmitsuhashi,ROOT: Win7: ThinkVantage Function Test - 3940PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,tmitsuhashi,To confirm the restore functionality in RnR,,"Win7- 32 bit, Win10-32bit, Win10-64bit, Win7- 64bit",
3943PA,SW,R&R: PreDesktop Area Function Test 3943PA,1.6,none,-100,480,,tmitsuhashi,ROOT: Win7: ThinkVantage Function Test - 3940PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,tmitsuhashi,To test PDA on ThinkPads with RNR,,"Win7- 32 bit, Win10-32bit, Win10-64bit, Win7- 64bit",
429PA,SW,TrackPoint Basic Function Test 429PA,3.1,none,-100,480,,tmitsuhashi,ROOT: TrackPoint Function Test - 470PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,tmitsuhashi,To verify Track Point 4 driver basic function under all OSs supported.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
469PA,SW,TrackPoint Application Compatibility Test 469PA,3.2.1,none,-100,480,,timothy.roasa@awsys-i.com,ROOT: TrackPoint Function Test - 470PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To verify Track Point driver Scrolling function ( with Applications under all OSs supported.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4554PA,SW,RapidBoot HDD Accelerator - Basic test 4554PA,1.3,none,-100,144,,tmitsuhashi,ROOT: Turbo Boot Technology  - 4553PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate, Windows XPH SP3",SIT,vthangavel,To test basic functionality for RapidBoot HDD Accelerator (formerly Turbo Boot) technology,,"Win XP, Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4554PA,SW,RapidBoot HDD Accelerator - Basic test 4554PA,1.3,none,-100,144,,tmitsuhashi,ROOT: Turbo Boot Technology  - 4553PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate, Windows XPH SP3",FVT,vthangavel,To test basic functionality for RapidBoot HDD Accelerator (formerly Turbo Boot) technology,,"Win XP, Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5428PA,SW,2015:3+2BCP/2BCP:Clickpad basic function test with Ultranav Driver on FVT 5428PA,1.4,Touchpad,-100,360,,mmontecer,ROOT: 2015:3+2BCP/2BCP:Clickpad basic function test with Ultranav Driver on FVT - 5428PA,Matrix,Active,Win 10,FVT,vthangavel,confirm the basic function of Clickpad,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5518PA,SW,2015:3+2BCP/2BCP: ClickPad Gesture test on FVT 5518PA,1.6,none,-100,240,,mmontecer,ROOT: 2015:3+2BCP/2BCP:ClickPad Gesture test on FVT,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,confirm the supported ClickPad gestures,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5426PA,SW,2015:3+2BCP:Trackpoint basic function test with Ultranav driver 5426PA,1.5,none,-100,480,,vthangavel,ROOT: 2015:3+2BCP:Trackpoint basic function test with Ultranav driver - 5426PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,perform Basic function test on TrackPoint with installed Ultranav driver with default condition.-Trackpoint stick-Left and Right buttons-Midlle button,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5427PA,SW,DRAFT:2015: Ultranav: Trackpoint function test 5427PA,1,none,-100,0,,tmitsuhashi,ROOT: DRAFT:2015: Ultranav: Trackpoint function test - 5427PA,Single,Active,Win 10,FVT,vthangavel,perform basic function test for trackpoint,,,
5387PA,SW,3+2BCP(ALPS):TrackPoint Function test 5387PA,1.2,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for ALPS - 2198PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,tmitsuhashi,confirm 3+2BCP under usage case scenarios,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5387PA,SW,3+2BCP(ALPS):TrackPoint Function test 5387PA,1.2,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for ALPS - 2198PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,tmitsuhashi,confirm 3+2BCP under usage case scenarios,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5388PA,SW,3+2BCP(ALPS):ClickPad function test 5388PA,1.6,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for ALPS - 2198PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm 3+2BCP under usage case scenarios,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5642PA,SW,NEC: 2BCP: Ultranav driver test (ALPS) 5642PA,1,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for ALPS - 2198PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm ALPS Ultranav driver with NEC model system,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5642PA,SW,NEC: 2BCP: Ultranav driver test (ALPS) 5642PA,1,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for ALPS - 2198PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,confirm ALPS Ultranav driver with NEC model system,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4028PA,SW,UltraNav : Embedded Contller Quality Confirmation test 4028PA,1.3,none,-100,96,,tmitsuhashi,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,It confirms that there is no UltraNav operation quality fall by EC.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4236PA,SW,UltraNav : ClickPad Function Test for Synaptics 4236PA,1.7,none,-100,288,,tmitsuhashi,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To verify Synaptics UltraNav driver advanced functions under all OS supported.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4333PA,SW,UltraNav : General Function Test 4333PA,2.2,none,-100,1200,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To verify Synaptics UltraNav driver General function under all OS supported.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4971PA,SW,UltraNav: 5 Button Clickpad Function Test for Synaptics 4971PA,3.8,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To qualify new 5 button clickpad design and functionality on all OS supported.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4971PA,SW,UltraNav: 5 Button Clickpad Function Test for Synaptics 4971PA,3.8,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,To qualify new 5 button clickpad design and functionality on all OS supported.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5225PA,SW,TouchPad test for Tablet Keyboard 5225PA,1.6,none,-100,240,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1",SIT,vthangavel,confirm touchpad function for Tablet keyboard works,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5225PA,SW,TouchPad test for Tablet Keyboard 5225PA,1.6,none,-100,240,,shaun.casantusan@awsys-i.com,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1",FVT,vthangavel,confirm touchpad function for Tablet keyboard works,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5274PA,SW,5BCP TouchPad SynReflash update test 5274PA,1.1,none,-100,240,,tmitsuhashi,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm TouchPad SynReflash utility,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5274PA,SW,5BCP TouchPad SynReflash update test 5274PA,1.1,none,-100,240,,tmitsuhashi,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,confirm TouchPad SynReflash utility,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5293PA,SW,5BCP: Usage scenario test 5293PA,1,none,-100,480,,tmitsuhashi,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm 5BCP function on different usage scenario case,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5293PA,SW,5BCP: Usage scenario test 5293PA,1,none,-100,480,,tmitsuhashi,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,confirm 5BCP function on different usage scenario case,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5327PA,SW,ClickPad function test 5327PA,1.2,none,-100,480,,vthangavel,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 11",SIT,vthangavel,confirm 3+2BCP/2BCP under usage case scenarios,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5342PA,SW,3+2BCP Score Card 5342PA,1.1,none,-100,480,,vthangavel,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,perform 3+2BCP score card items and gather data,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5342PA,SW,3+2BCP Score Card 5342PA,1.1,none,-100,480,,vthangavel,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,perform 3+2BCP score card items and gather data,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5345PA,SW,3+2BCP:TrackPoint Function test 5345PA,2.5,none,-100,480,High,ycharmaine,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 11",SIT,vthangavel,confirm 3+2BCP under usage case scenarios,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5345PA,SW,3+2BCP:TrackPoint Function test 5345PA,2.5,none,-100,480,High,ycharmaine,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 11",FVT,vthangavel,confirm 3+2BCP under usage case scenarios,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5721PA,SW,Precision Touch Pad Function Test 5721PA,2.4,Touchpad,-100,560,,amannem2,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 11",SIT,vthangavel,To Validate Precision Touch Pad function Test,,Win10-64bit,
5721PA,SW,Precision Touch Pad Function Test 5721PA,2.4,Touchpad,-100,560,,amannem2,ROOT: UltraNav Function Test for Synaptics (ClickPad model) - 4240PA,Matrix,Active,"Win 10, Win 11",FVT,vthangavel,To Validate Precision Touch Pad function Test,,Win10-64bit,
4239PA,SW,UltraNav Function Test for Synaptics (TouchPad model) 4239PA,1.3,none,-100,0,,tmitsuhashi,ROOT: UltraNav Function Test for Synaptics (TouchPad model) - 4239PA,Single,Active,Win 10,SIT,tmitsuhashi,"To verify the functionality of TouchPad driver.
A touch pad has two types, Synaptics and ALPS. And a touch pad driver is separate. Please take care.",,,
5672PA,SW,All: Ultranav Scrolling perfomance comparison 5672PA,1.1,none,-100,480,,mmontecer,ROOT:Ultranav Driver Common test coverage,Matrix,Active,Win 10,SIT,vthangavel,compare the Ultranav scrolling performance of the new product against the released product/follow-on product,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5673PA,SW,All: Ultranav Pinch and Rotate perfomance comparison 5673PA,1.3,none,-100,480,,vthangavel,ROOT:Ultranav Driver Common test coverage,Matrix,Active,Win 10,SIT,vthangavel,compare the Ultranav pinch and rotate performance of the new product against the released product/follow-on product,,"Win10-64bit, Win7- 64bit",
5542PA,SW,Wireless Dock Manager (Client SW) test on SIT 5542PA,1.4,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT:Application Team: WiGig Test coverage for SIT,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm the basic function of the application,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5567PA,SW,Application Team: WiGig Dock usage test 5567PA,1.2,none,-100,384,,shaun.casantusan@awsys-i.com,ROOT:Application Team: WiGig Test coverage for SIT,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm WiGig dock function under usage scenarios,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5540PA,SW,Wireless Dock Manager (Client SW) UI test 5540PA,1.4,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT:Wireless Dock Manager (Client SW) UI test,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,confirm the basic function of the application under test,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4832PA,SW,Zero Power ODD 4832PA,1,none,-100,144,,tmitsuhashi,MAIN: Zero Power ODD - 4832PA,Matrix,Active,Win 8,SIT,tmitsuhashi,To confirm Zero Power ODD function,,"Win8- 64bit, Win8- 32bit",
4710PA,SW,FVT: Hybrid Boot confirmation 4710PA,1,none,-100,480,,tmitsuhashi,ROOT: FVT: Hybrid Boot confirmation - 4710PA,Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,Confirm Windows 8 Hybrid boot function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4717PA,SW,"Picture password, PIN logon 4717PA",2,none,-100,360,,vthangavel,"ROOT: Picture password, PIN logon - 4717PA",Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,To confirm Picture Password and Pin Logon is function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4756PA,SW,W8/W10: Single sign on w/Live ID confirmation 4756PA,1.3,none,-100,240,,shaun.casantusan@awsys-i.com,ROOT: W8: Single sign on w/Live ID confirmation - 4756PA,Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,To confirm the funtionality of Single Sign On with Windows Live ID in Windows 8,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4824PA,SW,Win8 OS feature test 4824PA,2.2,none,-100,576,,tmitsuhashi,ROOT: Win8 OS feature test - 4824PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,Confirm Win8 OS uniques features,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4828PA,SW,W8: Hybrid boot confirmation test 4828PA,1,none,-100,144,,tmitsuhashi,ROOT: Win8 OS feature test - 4824PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,Confirm Win8 Hybrid Boot feature,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4831PA,SW,"Picture password, PIN logon 4831PA",1.1,none,-100,96,,shaun.casantusan@awsys-i.com,ROOT: Win8 OS feature test - 4824PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,To confirm Picture Password and Pin Logon is function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4835PA,SW,W8: Single sign on w/Live ID confirmation 4835PA,1,none,-100,96,,tmitsuhashi,ROOT: Win8 OS feature test - 4824PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,To confirm the funtionality of Single Sign On with Windows Live ID in Windows 8,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4954PA,SW,W8/W10:Windows To Go confirmation 4954PA,1.4.1,none,-100,240,,timothy.roasa@awsys-i.com,ROOT: Win8 OS feature test - 4824PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,Confirm Windows To Go feature,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5170PA,SW,SMB:W8.1:Metro In-Box App: Alarm/Calculate/Sound Recorder Function Verification Test 5170PA,1,none,-100,144,,tmitsuhashi,ROOT: Win8 OS feature test - 4824PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,"confirm function of Win8.1 Alarm, Calculator, and Sound Recorder",,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5170PA,SW,SMB:W8.1:Metro In-Box App: Alarm/Calculate/Sound Recorder Function Verification Test 5170PA,1,none,-100,144,,tmitsuhashi,ROOT: Win8 OS feature test - 4824PA,Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,"confirm function of Win8.1 Alarm, Calculator, and Sound Recorder",,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5350PA,SW,MS Windows Defender test 5350PA,1.2,none,-100,240,,vthangavel,ROOT: Win8 OS feature test - 4824PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,confirm Windows Defender on Lenovo Preload OS,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5350PA,SW,MS Windows Defender test 5350PA,1.2,none,-100,240,,vthangavel,ROOT: Win8 OS feature test - 4824PA,Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,confirm Windows Defender on Lenovo Preload OS,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4569PA,SW,W8:Lenovo Settings Power 4569PA,2.7,none,-100,480,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,confirm Lenovo Settings Power,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4902PA,SW,Lenovo Settings Power - Notifications 4902PA,2,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,confirm Lenovo Experience Power notification feature works as expected.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
4904PA,SW,W8:Lenovo Setting hub application Function test 4904PA,2.0.1,none,-100,360,,timothy.roasa@awsys-i.com,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,To confirm usability of Lenovo Experience applicationBasic function is working fine as expected,,"Win81-64bit, Win81-32bit, Win10-32bit",
4904PA,SW,W8:Lenovo Setting hub application Function test 4904PA,2.0.1,none,-100,360,,timothy.roasa@awsys-i.com,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,To confirm usability of Lenovo Experience applicationBasic function is working fine as expected,,"Win81-64bit, Win81-32bit, Win10-32bit",
5063PA,SW,Citroen - QuickControl application function test 5063PA,2.5,none,-100,480,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,tmitsuhashi,Qualify NFC technology QuickControl application on Android and IOS devices.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5063PA,SW,Citroen - QuickControl application function test 5063PA,2.5,none,-100,480,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,tmitsuhashi,Qualify NFC technology QuickControl application on Android and IOS devices.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5104PA,SW,Lenovo QuickCast Function Test 5104PA,1.2,none,-100,480,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,tmitsuhashi,To validate Lenovo QuickCast application.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5104PA,SW,Lenovo QuickCast Function Test 5104PA,1.2,none,-100,480,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,tmitsuhashi,To validate Lenovo QuickCast application.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5113PA,SW,W8:Lenovo Easy Resume (Instant On) 5113PA,1.6,none,-100,360,,vthangavel,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,"Confirm Lenovo Instant On feature
Download Intel Powerhouse Mountain 4.3.0 tool from PMS.
http://ipgpms.lenovo.com/document/documentManage.action?viewType=fold&level=3&categoryId=46&selCategoryName=ThinkPad PA&typesId=371&selSubName=Application",,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5113PA,SW,W8:Lenovo Easy Resume (Instant On) 5113PA,1.6,none,-100,360,,vthangavel,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,"Confirm Lenovo Instant On feature
Download Intel Powerhouse Mountain 4.3.0 tool from PMS.
http://ipgpms.lenovo.com/document/documentManage.action?viewType=fold&level=3&categoryId=46&selCategoryName=ThinkPad PA&typesId=371&selSubName=Application",,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5134PA,SW,W8/W10:Lenovo Easy Resume(Instant On) Advance Scenario 5134PA,1.4,none,-100,720,,shaun.casantusan@awsys-i.com,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,Confirm Instant On function on different scenarios and no application crash,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5134PA,SW,W8/W10:Lenovo Easy Resume(Instant On) Advance Scenario 5134PA,1.4,none,-100,720,,shaun.casantusan@awsys-i.com,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,Confirm Instant On function on different scenarios and no application crash,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5243PA,SW,Lenovo Transition function test 5243PA,1.1,none,-100,360,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,confirm Lenovo Transistion function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5243PA,SW,Lenovo Transition function test 5243PA,1.1,none,-100,360,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,confirm Lenovo Transistion function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5246PA,SW,Application team: preload application test 5246PA,2.4,none,-100,0,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Single,Active,Win 10,SIT,tmitsuhashi,Perform Win8 test items handled by application team,,,
5246PA,SW,Application team: preload application test 5246PA,2.4,none,-100,0,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Single,Active,Win 10,FVT,tmitsuhashi,Perform Win8 test items handled by application team,,,
5260PA,SW,Cyberlink Photo Director function test 5260PA,1.2,none,-100,240,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",SIT,tmitsuhashi,confirm Photo director function works,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
5260PA,SW,Cyberlink Photo Director function test 5260PA,1.2,none,-100,240,,tmitsuhashi,ROOT: Application team: preload application test - 5246PA,Matrix,Active,"Win 10, Win 8.1",FVT,tmitsuhashi,confirm Photo director function works,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit",
