Case ID,Case type,Case name,Version,Keywords,Auto type,Workloading,Priority,Creator,Category folder,Execution Type,Status,OS,Phase,Owner,Objective,Release notes,Type matrix,Case tools
AP_0060,SW,Lenovo Now function test on ThinkPad,0.2,Lenovo Now function test on ThinkPad,-100,300,,chaohh2,Application,Single,Active,"Win 10, Win 11",,gkothandaram,"to test Lenovo Now application, previously know as Lenovo Welcome",,NULL,
AP_0061,SW,Lenovo Smart Meeting Function Test on ThinkPad,0.4,Lenovo Smart Meeting Function Test on ThinkPad SMB,-100,1460,,chaohh2,Application,Single,Active,Win 11,,gkothandaram,To qualify Lenovo Smart Meeting Function Test on ThinkPad SMB,,NULL,
AP_0063,SW,MS AI App function test,2.1,AP_0063 - MS AI App function test v0.1,-100,360,High,ycharmaine,Application,Single,Active,Win 11,"FVT,FVT 2,SIT,SIT 2",gkothandaram,To confirm the AI functionalities working,,NULL,
AP_0064,SW,FFRT Vantage Function Test,1.0,Vantage FFRT,-100,360,High,qvanessa,Application,Single,Active,"Win 10, Win 11",FFRT,qvanessa,To qualify Vantage app in FFRT phase.,,NULL,
AP_0065,SW,Copilot Compatibility Test,2.1,Copilot,-100,485,High,ycharmaine,Application,Single,Active,Win 11,"FVT,FVT 2,SIT,SIT 2",qvanessa,To qualify Copilot app.,,NULL,
AP_0070,SW,Lenovo OKR Validation Test v1.0,1.0,OKR,-100,960,High,amannem2,Application,Single,Active,"Win 10, Win 11","FVT,SIT,SVT",amannem2,To check Lenovo OKR,,NULL,
5811PA,SW,AOAC Stress Test in SIT w/Applications 5811PA,1,none,-100,0,,vthangavel,AOAC Stress Test Validation w/Applications,Single,Active,Win 10,"SIT,FVT",vthangavel,To perform AOAC stress test w/applications,,NULL,
AP_0028,SW,LVA Function Test,1.7,LVA,-100,480,,gkothandaram,Application,Single,Active,"Win 10, Win 11","FVT,SIT",fyuan,Verify LVA function,,NULL,
AP_0040,SW,AP_0040:New Smart Displays App Function Test,0.3,New Smart Displays App Function Test,-100,120,,gkothandaram,Application,Single,Active,"Win 10, Win 11",,gkothandaram,To Test Smart Display Application,,NULL,
AP_0042,SW,AI Meeting Manager function test,v0.4,AI Meeting Manager function test,-100,200,,gkothandaram,Application,Single,Active,"Win 10, Win 11",,gkothandaram,To test the AI meeting manager,,NULL,
AP_0053,SW,AP_0053-Lenovo APP Store,v1.5,AP_0053 Lenovo APP Store,-100,60,,zhanglm11,Application,Single,Active,NULL,,lijy62,Lenovo App store testing,,NULL,
AP_0054,SW,AP_0054-Lenovo Browser,v2.1_1,AP_0054-Lenovo Browser,-100,168,,zhanglm11,Application,Single,Active,NULL,,lijy62,Lenovo Browser Testing,,NULL,
5313PA,SW,Stagelight function test 5313PA,1.2,none,-100,480,,tmitsuhashi,MAIN: Stagelight function test - 5313PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,confirm Stagelight function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5127PA,SW,3rd Party Application: Sophos Safeguard Easy 5127PA,1.4,none,-100,480,,vthangavel,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,To confirm Sophos Safeguard Easy can be installed on Lenovo products,,"Win81-64bit, Win81-32bit, Win7- 64bit, Win7- 32bit",
5128PA,SW,3rd Party Application: McAfee 5128PA,1.1,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,"Confirm if system will have a problem if this software are installed on
Lenovo system",,"Win81-64bit, Win81-32bit, Win10-32bit, Win7- 64bit, Win7- 32bit",
5131PA,SW,3rd Party Security SW: SecureDoc confirmation test 5131PA,3.1,none,-100,480,,gkothandaram,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,Confirm SecureDoc works,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5202PA,SW,3rd Party Security application test 5202PA,1.1,none,-100,0,,tmitsuhashi,ROOT: 3rd Party Security application test - 5202PA,Single,Active,Win 10,SIT,vthangavel,verify 3rd party security applications,,NULL,
5332PA,SW,Symantec Endpoint Protection compatibility test 5332PA,1,none,-100,240,,tmitsuhashi,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,confirm if Lenovo owned applications or drivers are affected when Symantec Endpoint Protection is installed,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5419PA,SW,McAfee LiveSafe function test 5419PA,1,none,-100,240,,gkothandaram,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,confirm McAfee LiveSafe Int,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5632PA,SW,Intel Truekey usage test 5632PA,1.5.1,none,-100,480,,timothy.roasa@awsys-i.com,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm Intel Truekey application based on usage case,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5670PA,SW,Intel Authenticate usage test 5670PA,1,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm Intel Authenticate basic function via GPO,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
1542PA,SW,Application team: Preload application compatibility 1542PA,4.5,none,-100,0,,tmitsuhashi,ROOT: Application team: Preload application compatibility - 1542PA,Single,Active,Win 10,SIT,vthangavel,"To verify Mobile functionality in condition of application existence.
This test is not intended to qualify the application itself but use the application as a test tool or test environment which inturn qualifies system components like ODD, HDD, External ODD, etc.
Any major issues found using the 3rd party applications that affects ThinkPad's quality and usability should be reported immediately.",,NULL,
4579PA,SW,Diskeeper ExpressCache Function Test 4579PA,1.9,none,-100,360,,tmitsuhashi,ROOT: Application team: Preload application compatibility - 1542PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,To confirm the functionality of Diskeeper application.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5245PA,SW,SMB: ThinkPad Smart Mark(Chinese HandWriting) Function Test 5245PA,1,none,-100,240,,tmitsuhashi,ROOT: Application team: Preload application compatibility - 1542PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,verify ThinkPad Smart Mark(Chinese HandWriting) functionality,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5379PA,SW,Lenovo applications: GUI confirmation on System LCD and External monitor test 5379PA,1,none,-100,360,,tmitsuhashi,ROOT: Application team: Preload application compatibility - 1542PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,confirm the application's GUI which are handled by Application team on different supported LCD panel and on External monitor case.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5380PA,SW,3rd party applications: GUI confirmation on System LCD and External monitor test 5380PA,1,none,-100,360,,tmitsuhashi,ROOT: Application team: Preload application compatibility - 1542PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,confirm the application's GUI which are handled by Application team on different supported LCD panel and on External monitor case.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5392PA,SW,MS Office activation test 5392PA,1.6,none,-100,48,,ycharmaine,ROOT: Application team: Preload application compatibility - 1542PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,"-confirm activated MS Office application's basic function.
-Request preload team to prepare a prealod AOD which include activated MS Office module.",,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5421PA,SW,W7:LenovoPowerENGAGE function test 5421PA,1.2,none,-100,240,,shaun.casantusan@awsys-i.com,ROOT: Application team: Preload application compatibility - 1542PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,confirm Lenovo PowerENGAGE function,,"Win10-32bit, Win7- 64bit, Win7- 32bit",
5652PA,SW,W7:Auto Screen Utility test on SIT 5652PA,1.0.1,none,-100,480,,timothy.roasa@awsys-i.com,ROOT: Application team: Preload application compatibility - 1542PA,Matrix,Active,"Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm the function of Auto screen rotation utility,,"Win7- 64bit, Win7- 32bit",
5669PA,SW,All: PC Game compatibility check 5669PA,1.1,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: PC game compatibility check,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,"Make sure the game will run smoothly under default video/performance setting, no garbage image/no lag/no hangup/no black screen appeared, especially when much players in the same chapter.",,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5651PA,SW,W7:Screen rotation Utility function check on FVT 5651PA,1.2.1,none,-100,480,,timothy.roasa@awsys-i.com,ROOT:W7:Screen rotation Utility function check on FVT,Matrix,Active,"Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,tmitsuhashi,confirm the basic function of Auto screen rotation utility,,"Win7- 64bit, Win7- 32bit",
4284PA,SW,Battery FW update utility verification 4284PA,2.0,none,-100,120,,gkothandaram,ROOT: Application team: Battery test - 5236PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To verify battery FW utility,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4455PA,SW,Battery FUD confirmation 4455PA,1.3,none,-100,48,,tmitsuhashi,ROOT: Application team: Battery test - 5236PA,Matrix,Active,"Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To confirm FUD can be reset and set correct date after reset,,"Win81-64bit, Win81-32bit, Win7- 64bit, Win7- 32bit",
5236PA,SW,Application team: Battery test 5236PA,1,none,-100,0,,tmitsuhashi,ROOT: Application team: Battery test - 5236PA,Single,Active,Win 10,SIT,vthangavel,confirm application team's battery related test items,,NULL,
4179PA,SW,FVT:Battery FW update utility verification 4179PA,1.6.1,none,-100,240,,timothy.roasa@awsys-i.com,ROOT: FVT:Battery FW update utility verification - 4179PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,To verify battery FW utility works,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
2917PA,SW,Computrace side effect verification 2917PA,1.7,none,-100,0,,tmitsuhashi,ROOT: Computrace side effect verification - 2917PA,Single,Active,Win 10,SIT,vthangavel,To verify no side effect with enabling computrace,,NULL,
3986PA,SW,Computrace connection verification 3986PA,1.4,none,-100,144,,shaun.casantusan@awsys-i.com,ROOT: Computrace side effect verification - 2917PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,"To verify the system can connect actual computrace web site . note : To support computrace , Product should have the capability and Absolute company approval .",,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5302PA,SW,Wintab pressure sensitivity check,0.6,none,-100,480,,gkothandaram,ROOT: Application team: Wintab test - 5303PA,Matrix,Active,"Win 10, Win 11","SIT,FVT",vthangavel,confirm Wintab pressure sensitivity using differentwell known applications,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5303PA,SW,Application team: Wintab test 5303PA,1,none,-100,0,,tmitsuhashi,ROOT: Application team: Wintab test - 5303PA,Single,Active,Win 10,"SIT,FVT",vthangavel,confirm Application team's Wintab test coverage,,NULL,
4012PA,SW,Dual Mode battery Manual&Auto mode verification 4012PA,1.4,none,-100,0,,tmitsuhashi,ROOT: Dual Mode battery Manual&Auto mode verification - 4012PA,Single,Active,Win 10,SIT,vthangavel,To verify dual mode battery is detected or not correctly,,NULL,
4031PA,SW,Auto : Dual mode battery - automatic mode verification 4031PA,1.3.1,none,-100,384,,timothy.roasa@awsys-i.com,ROOT: Dual Mode battery Manual&Auto mode verification - 4012PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To verify dual mode battery - automatic mode function,,"Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4035PA,SW,Auto : Dual mode battery charge / discharge operation with auto switch rejection 4035PA,1.1,none,-100,240,,tmitsuhashi,ROOT: Dual Mode battery Manual&Auto mode verification - 4012PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To verify battery usage,,"Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4063PA,SW,Power Manager Function Test - Battery Maintenance for dual battery 4063PA,1.1,none,-100,144,,tmitsuhashi,ROOT: Dual Mode battery Manual&Auto mode verification - 4012PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To verify Battery maintenance function with dual mode battery,,"Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4325PA,SW,Advance Lifespan mode and Storage mode 4325PA,1.8,none,-100,144,,shaun.casantusan@awsys-i.com,ROOT: Dual Mode battery Manual&Auto mode verification - 4012PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,FVT",vthangavel,To verify Auto Life Span mode confirmation,,"Win10-32bit, Win7- 64bit, Win7- 32bit",
4123PA,SW,FVT: Dual mode battery Autoswitch function verification 4123PA,1.1,none,-100,192,,tmitsuhashi,ROOT: FVT: Dual mode battery Autoswitch function verification - 4123PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,To verify dual mode battery - automatic mode function,,"Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5489PA,SW,DRAFT:PowerProducer: Disc Utilities function test on SIT 5489PA,1,none,-100,240,,tmitsuhashi,MAIN: DRAFT:PowerProducer: Disc Utilities function test on SIT - 5489PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm the PowerProducer's Disc Utilities module under usage case scenario,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5443PA,SW,PowerDVD Create function test on SIT 5443PA,1.1.1,none,-100,240,,timothy.roasa@awsys-i.com,ROOT: ODD Application test - 5484PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm the basic function of PowerDVD Create,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5444PA,SW,PowerProducer function test on SIT 5444PA,1.1,none,-100,240,,shaun.casantusan@awsys-i.com,ROOT: ODD Application test - 5484PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,"confirm below PowerProducer features under usage case related scenarios.
-Produce Movie Disc
-Right-to-Disc
-Edit Disc",,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5484PA,SW,DRAFT: ODD Application test 5484PA,1,none,-100,480,,tmitsuhashi,ROOT: ODD Application test - 5484PA,Matrix,Active,"Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,use this document to cover ODD related applications during SIT,,"Win81-64bit, Win81-32bit, Win7- 64bit, Win7- 32bit",
4816PA,SW,PowerProducer function test on FVT 4816PA,1.3,none,-100,480,,tmitsuhashi,ROOT: PowerProducer function test on FVT - 4816PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,To confirm the functionality and compatibility of PowerDVD Create Application,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
2895PA,SW,FFRT : HDD Active Protection Function Test 2895PA,2.6,none,-100,240,,vthangavel,ROOT: FFRT Test item for Application team - 5229PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,SVT",vthangavel,To verify HDD Active Protection System function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
2896PA,SW,"FFRT : Utilities availability , Battery Info and dual mode battery verification 2896PA",2.1,none,-100,240,,tmitsuhashi,ROOT: FFRT Test item for Application team - 5229PA,Matrix,Active,"Win 10, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,SVT",vthangavel,To verify ThinkPad Utilities availability,,"Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
3119PA,SW,FFRT:Application Function Test 3119PA,1.6,none,-100,240,,tmitsuhashi,ROOT: FFRT Test item for Application team - 5229PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,SVT",vthangavel,To confirm the functionality of the common applications,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
3121PA,SW,FFRT:ThinkVantage Function Test 3121PA,1.1,none,-100,240,,tmitsuhashi,ROOT: FFRT Test item for Application team - 5229PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,SVT",vthangavel,To confirm the compatibility of Rescue and Recovery application with final level of BIOS/H8/Drivers/Applications before SIT exit,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
3613PA,SW,FFRT : Fingerprint Function test 3613PA,2.5,none,-100,480,,tmitsuhashi,ROOT: FFRT Test item for Application team - 5229PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate","SIT,SVT",vthangavel,Confirm fingerprint function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
